CAT. NO.,"UPC #
0-92644+",DESCRIPTION,"STD.
PKG.","MIN.
ORDER
QTY.",UNIT,LIST,"Minimum
Advertised
Price (MAP)","BRKN
PKG.
PRICE","STD.
PKG.
PRICE","KleinTools.com
Link",Product #,,
K34,32108-5,Slotted Screw Holding Screwdriver 4-Inch,6,1,EA,15.12,9.99,9.07,7.56,K34,K34,,
K36,32248-8,Slotted Screw Holding Screwdriver 6-Inch,3,1,EA,15.20,9.97,9.12,7.60,K36,K36,,
K38,32110-8,"Slotted Screw-Holding Screwdriver, 8-Inch Shank",6,1,EA,16.66,10.99,10.00,8.33,K38,K38,,
K44,32111-5,5/16-Inch Slotted Screw Holding Screwdriver,6,1,EA,15.30,9.99,9.18,7.65,K44,K44,,
K46,32112-2,"5/16-Inch Slotted Holding Screwdriver, 6-Inch",6,1,EA,18.18,11.99,10.91,9.09,K46,K46,,
K48,32113-9,"5/16-Inch Slotted Holding Screwdriver, 8-Inch",6,1,EA,18.14,11.99,10.88,9.07,K48,K48,,
K7,32608-0,"Nut Driver Set, 3-Inch Shafts, 7-Piece",1,1,EA,83.30,54.99,-,41.65,K7,K7,,
KG-1,52001-3,Gaff Gauge for Pole and Tree Climbers,6,1,EA,8.66,4.98,5.20,4.33,KG1,KG1,,
KG-2,52002-0,"Gaff Sharpening Kit for Pole, Tree Climbers",1,1,EA,57.22,32.91,-,28.61,KG2,KG2,,
KG5295-6-6L,52109-6,"Positioning Strap, 6.5-Foot with 6-1/2-Inch Snap Hook",1,1,EA,234.02,134.57,-,117.01,KG529566L,KG529566L,,
KG5295-6L,52108-9,"Positioning Strap, 6-Foot with 6-1/2-Inch Snap Hook",1,1,EA,229.80,132.13,-,114.90,KG52956L,KG52956L,,
KG5295-7L,52110-2,"Positioning Strap, 7-Foot with 6-1/2-Inch Snap Hook",1,1,EA,237.96,136.82,-,118.98,KG52957L,KG52957L,,
KG5295-8L,52111-9,"Positioning Strap, 8-Foot with 6-1/2-Inch Snap Hook",1,1,EA,244.42,140.55,-,122.21,KG52958L,KG52958L,,
KG5295-L,52107-2,"Positioning Strap, 5.67-Foot with 6-1/2-Inch Snap Hook",1,1,EA,227.84,131.00,-,113.92,KG5295L,KG5295L,,
KHHSPN,60087-6,Klein Tools Hard Hat Replacement Suspension,1,1,EA,15.38,10.99,-,7.69,KHHSPN,KHHSPN,,
KHHSPN2,60438-6,"Hard Hat Suspension Replacement, Premium KARBN™",1,1,EA,13.98,9.99,-,6.99,KHHSPN2,KHHSPN2,,
KHHSTRP,60119-4,Klein Tools Hard Hat Chin Strap,1,1,EA,13.98,9.99,-,6.99,KHHSTRP,KHHSTRP,,
KHHSWTBND,60089-0,Klein Tools Hard Hat Replacement Sweatband,1,1,EA,28.36,20.99,-,14.18,KHHSWTBND,KHHSWTBND,,
KHHSWTBND2,60437-9,"Hard Hat Sweatband Replacement, Premium KARBN™",1,1,EA,31.36,22.99,-,15.68,KHHSWTBND2,KHHSWTBND2,,
KHHTOPPAD,60088-3,Klein Tools Hard Hat Replacement Top Pad,1,1,EA,15.38,10.99,-,7.69,KHHTOPPAD,KHHTOPPAD,,
KHHTOPPAD2,60436-2,"Hard Hat Top Pad Replacement, Premium KARBN™",1,1,EA,19.36,13.99,-,9.68,KHHTOPPAD2,KHHTOPPAD2,,
KL5295-6-6L,52115-7,"Positioning Strap, 6.5-Foot with 5-Inch Snap Hook",1,1,EA,242.20,139.27,-,121.10,KL529566L,KL529566L,,
KL5295-6L,52114-0,"Positioning Strap, 6-Foot with 5-Inch Snap Hook",1,1,EA,237.86,136.77,-,118.93,KL52956L,KL52956L,,
KL5295-8L,52117-1,"Positioning Strap, 8-Foot with 5-Inch Snap Hook",1,1,EA,252.94,145.43,-,126.47,KL52958L,KL52958L,,
KN1500PEX,61425-5,Web-Strap Ratchet Hoist,1,1,EA,732.56,439.53,-,366.28,KN1500PEX,KN1500PEX,,
KN1500PEXH,61103-2,Web-Strap Ratchet Hoist with Hot Rings,1,1,EA,915.94,549.56,-,457.97,KN1500PEXH,KN1500PEXH,,
KN1600PEX,61106-3,Web-Strap Hoist Deluxe with Removable Handle,1,1,EA,874.36,524.62,-,437.18,KN1600PEX,KN1600PEX,,
KP075-24,47475-0,"Pulling Grip, 0.75 to 1-Inch Diameter Short Length",2,1,EA,199.96,119.98,119.98,99.98,KP07524,KP07524,,
KP075-36,47482-8,Pulling Grip 36-Inch Length 0.75 to 1-Inch Dia,2,1,EA,251.76,151.05,151.06,125.88,KP07536,KP07536,,
KP100-24,47476-7,"Wire Pulling Grips, Weaved Eye, 1 to 1.5-Inch",2,1,EA,199.96,119.98,119.98,99.98,KP10024,KP10024,,
KP100-36,47483-5,"Pulling Grip, 1.0 to 1.5-Inch Diameter, 36-Inch",2,1,EA,260.70,156.42,156.42,130.35,KP10036,KP10036,,
KP150-36,47484-2,Pulling Grip 36-Inch Length 1.5 to 2-Inch,2,1,EA,280.62,168.38,168.37,140.31,KP15036,KP15036,,
KPJ100,47501-6,Junior Duty Flexible Eye Pulling Grips,2,1,EA,73.96,44.39,44.38,36.98,KPJ100,KPJ100,,
KPJ50,47498-9,Eye Pulling Grip 0.5 to 0.61-Inch Dia,2,1,EA,52.68,31.61,31.61,26.34,KPJ50,KPJ50,,
KPJ75,47500-9,Single Weave Flexible Eye Pulling Grips,2,1,EA,69.86,41.92,41.92,34.93,KPJ75,KPJ75,,
KPL125-1,47446-0,Light Duty Pulling Grips 1.25 to 1.5-Inch,2,1,EA,114.18,68.51,68.51,57.09,KPL1251,KPL1251,,
KPL150-1,47447-7,Light Duty Pulling Grips 1.5 to 1.75-Inch,2,1,EA,124.76,74.86,74.86,62.38,KPL1501,KPL1501,,
KPL200-1,47449-1,Light Duty Eye Pulling Grip 2 to 2.5-Inch,2,1,EA,160.08,96.04,96.05,80.04,KPL2001,KPL2001,,
KPM050,47468-2,"Weaved Flexible Eye Pulling Grips, 13-Inch",2,1,EA,131.64,78.99,78.98,65.82,KPM050,KPM050,,
KPM075,47469-9,Weaved Flexible Eye Pulling Grips 16-Inch,2,1,EA,153.72,92.23,92.23,76.86,KPM075,KPM075,,
KPM100,47470-5,"Double Weave, Flexible Eye Pulling Grips",2,1,EA,161.16,96.69,96.70,80.58,KPM100,KPM100,,
KPS050-2,47411-8,"Pulling Grip 16-Inch L, 0.50 to 0.61-Inch Diameter",2,1,EA,251.74,151.04,151.04,125.87,KPS0502,KPS0502,,
KPS062-2,47412-5,"Pulling Grip 16-Inch L 0.62"" to 0.74-Inch Dia",2,1,EA,255.50,153.31,153.30,127.75,KPS0622,KPS0622,,
KPS075-2,47413-2,"Pulling Grip 20-Inch L, 0.75 to 1-Inch Dia",2,1,EA,283.88,170.32,170.33,141.94,KPS0752,KPS0752,,
KPS075SEN,47429-3,"Wire Pulling Grip 3/4"" to 1""",1,1,EA,22.72,14.99,-,11.36,KPS075SEN,KPS075SEN,,
KPS100-2,47414-9,Pulling Grip 20-Inch L 1.0 to 1.2-Inch Dia,2,1,EA,285.78,171.47,171.47,142.89,KPS1002,KPS1002,,
KPS100-3,47424-8,Eye Pulling Grips Medium Long 1 to 1.49-Inch Cable,2,1,EA,351.88,211.13,211.13,175.94,KPS1003,KPS1003,,
KPS125-2,47415-6,Rotating Eye Pulling Grips 21-Inch Mesh Long,2,1,EA,310.84,186.50,186.50,155.42,KPS1252,KPS1252,,
KPS150-2,47416-3,Rotating Eye Pulling Grip for 1.5 to 1.99-Inch Med,2,1,EA,341.00,204.60,204.60,170.50,KPS1502,KPS1502,,
KPS150-3,47425-5,Eye Pulling Grips Med 1.5 to 2-Inch Cable,2,1,EA,351.88,211.13,211.13,175.94,KPS1503,KPS1503,,
KPS200-2,47417-0,"Pulling Grip for 2 to 2.5-Inch Diameter, 26-Inch",2,1,EA,397.24,238.35,238.34,198.62,KPS2002,KPS2002,,
KPS200-3,47426-2,Eye Pulling Grips Med 2 to 2.5-Inch Cable,2,1,EA,476.00,285.60,285.60,238.00,KPS2003,KPS2003,,
KPS250-2,47418-7,"Pulling Grip 28-Inch Long, 2.5 to 3-Inch Diameter",2,1,EA,456.26,273.76,273.76,228.13,KPS2502,KPS2502,,
KPS300-2,47419-4,Pulling Grip for 3 to 3.5-Inch Diameter 30-Inch,2,1,EA,497.12,298.28,298.27,248.56,KPS3002,KPS3002,,
KPS350-2,47420-0,"Pulling Grip 32-Inch Mesh, 3.5 to 4-Inch Diameter",2,1,EA,575.34,345.21,345.20,287.67,KPS3502,KPS3502,,
KSCK100-1,47503-0,Offset Flexible Eye Pulling Grips 15-Inch,2,1,EA,138.78,83.27,83.27,69.39,KSCK1001,KSCK1001,,
KSRK075-1,47538-2,Offset Flexible Eye Pulling Grips 10-Inch,2,1,EA,93.30,55.98,55.98,46.65,KSRK0751,KSRK0751,,
KSRK100-1,47539-9,Offset Flexible Eye Pulling Grips 12-Inch,2,1,EA,102.00,61.20,61.20,51.00,KSRK1001,KSRK1001,,
KSSK125-1,47521-4,"Slack-Pulling Grips, 16-Inch, Offset Flexible Eye",2,1,EA,160.96,96.57,96.58,80.48,KSSK1251,KSSK1251,,
KT151T,68001-4,4-in-1 Lineman's Ratcheting Wrench,1,1,EA,157.30,94.39,-,78.65,KT151T,KT151T,,
KT152T,68645-0,4-in-1 Lineman's Slim Ratcheting Wrench,1,1,EA,166.60,99.97,-,83.30,KT152T,KT152T,,
KT155HD,68027-4,"6-in-1 Lineman's Ratcheting Wrench, Heavy-Duty",1,1,EA,166.04,99.62,-,83.02,KT155HD,KT155HD,,
KT155T,68003-8,6-in-1 Lineman's Ratcheting Wrench,1,1,EA,157.10,94.25,-,78.55,KT155T,KT155T,,
KT223X4,68023-6,Lineman's Ratcheting 4-in-1 Box Wrench,3,1,EA,48.44,29.06,29.06,24.22,KT223X4,KT223X4,,
KT223X4-INS,68028-1,Lineman's Insulating 4-in-1 Box Wrench,3,1,EA,67.18,39.99,40.31,33.59,KT223X4INS,KT223X4INS,,
KT4500,47750-8,Parallel Jaw Grip 4500 Series for ACSR,2,1,EA,228.78,140.13,137.27,114.39,KT4500,KT4500,,
KT45005C,47071-4,"Parallel Jaw Grip 4500 Series for Guy Strand, EHS, Coated Cable",2,1,EA,311.04,190.52,186.62,155.52,KT45005C,KT45005C,,
KT4501,47751-5,Parallel Jaw Grip 4501 Series with Hot Latch,2,1,EA,228.78,140.13,137.27,114.39,KT4501,KT4501,,
KT4502,47752-2,Parallel Jaw Grip 4502 Series with Hot Latch,2,1,EA,228.78,140.13,137.27,114.39,KT4502,KT4502,,
KT4600,47753-9,Parallel Jaw Grip 4600 Series,2,1,EA,335.34,205.40,201.20,167.67,KT4600,KT4600,,
KT4601,47754-6,Parallel Jaw Grip 4601 Series with Hot Latch/Spring,2,1,EA,335.34,205.40,201.20,167.67,KT4601,KT4601,,
KT4602,47755-3,Parallel Jaw Grip 4602 Series with Hot Latch,2,1,EA,335.34,205.40,201.20,167.67,KT4602,KT4602,,
KT4800,47756-0,Parallel Jaw Grip 4800 Series,2,1,EA,549.42,336.52,329.65,274.71,KT4800,KT4800,,
KT4801,47757-7,Parallel Jaw Grip 4801 Series with Hot Latch/Spring,2,1,EA,549.42,336.52,329.65,274.71,KT4801,KT4801,,
KT4802,47758-4,Parallel Jaw Grip 4802 Series with Hot Latch,2,1,EA,549.42,336.52,329.65,274.71,KT4802,KT4802,,
KTB1000,29300-9,"Portable Power Station, 1500W",1,1,EA,"2,080.00","1,299.99",-,"1,040.00",KTB1000,KTB1000,,
KTB500,29150-0,"Portable Power Station, 500W",1,1,EA,770.00,499.99,-,385.00,KTB500,KTB500,,
KTSB01,59101-3,"Step Drill Bit Double-Fluted #1, 1/8 to 1/2-Inch",6,1,EA,36.48,25.99,21.89,18.24,KTSB01,KTSB01,,
KTSB03,59103-7,"Step Drill Bit Double Fluted #3, 1/4 to 3/4-Inch",6,1,EA,47.68,33.99,28.61,23.84,KTSB03,KTSB03,,
KTSB11,59111-2,Step Drill Bit #11 Double-Fluted 7/8 to 1-1/8-Inch,3,1,EA,65.52,49.97,39.31,32.76,KTSB11,KTSB11,,
KTSB14,59114-3,"Step Drill Bit #14 Double-Fluted, 3/16 to 7/8-Inch",3,1,EA,49.94,38.99,29.96,24.97,KTSB14,KTSB14,,
KTSB15,59115-0,Step Drill Bit #15 Double Fluted 7/8 to 1-3/8-Inch,3,1,EA,81.96,54.97,49.18,40.98,KTSB15,KTSB15,,
LBL100,69209-3,"Laser Level with Bubble Vials, Magnetic",4,1,EA,83.80,59.97,50.28,41.90,LBL100,LBL100,,
LL10,33087-2,"Long Arm Hex Key, 5/32-Inch",5,5,EA,1.26,0.89,-,0.63,LL10,LL10,,
LL12,33088-9,"Long Arm Hex Key, 3/16-Inch",5,5,EA,1.24,0.89,-,0.62,LL12,LL12,,
LL14,33089-6,"Long Arm Hex Key, 7/32-Inch",5,5,EA,1.40,0.99,-,0.70,LL14,LL14,,
LL16,33090-2,"Long Arm Hex Key, 1/4-Inch",5,5,EA,1.66,1.19,-,0.83,LL16,LL16,,
LL2,33091-9,"Long Arm Hex Key, 0.050-Inch",5,5,EA,0.84,0.59,-,0.42,LL2,LL2,,
LL20,33092-6,"Long Arm Hex Key, 5/16-Inch",5,5,EA,2.38,1.69,-,1.19,LL20,LL20,,
LL24,33093-3,"Long Arm Hex Key, 3/8-Inch",5,5,EA,3.48,2.49,-,1.74,LL24,LL24,,
LL4,33094-0,Long Arm Hex Key 1/16-Inch,5,5,EA,0.84,0.59,-,0.42,LL4,LL4,,
LL5,33095-7,Long Arm Hex Key 5/64-Inch,5,5,EA,0.84,0.59,-,0.42,LL5,LL5,,
LL6,33096-4,"Long Arm Hex Key, 3/32-Inch",5,5,EA,0.84,0.59,-,0.42,LL6,LL6,,
LL7,33097-1,Long Arm Hex Key 7/64-Inch,5,5,EA,0.84,0.59,-,0.42,LL7,LL7,,
LL8,33098-8,Long Arm Hex Key 1/8-Inch,5,5,EA,0.84,0.59,-,0.42,LL8,LL8,,
LL9,33099-5,Long Arm Hex Key 9/64-Inch,5,5,EA,1.10,0.79,-,0.55,LL9,LL9,,
LLK12,33221-0,L-Style Hex Key Caddy Set 12-Piece,3,1,EA,16.78,11.99,10.07,8.39,LLK12,LLK12,,
LLM10,33073-5,"Long-Arm Hex-Key, 10 mm",5,5,EA,3.48,2.49,-,1.74,LLM10,LLM10,,
LLM15,33077-3,"Long-Arm Hex-Key, 1.5 mm",5,5,EA,0.98,0.69,-,0.49,LLM15,LLM15,,
LLM2,33080-3,"Long-Arm Hex-Key, 2 mm",5,5,EA,0.98,0.69,-,0.49,LLM2,LLM2,,
LLM25,33081-0,"Long-Arm Hex-Key, 2.5 mm",5,5,EA,0.98,0.69,-,0.49,LLM25,LLM25,,
LLM3,33082-7,"Long-Arm Hex-Key, 3 mm",5,5,EA,0.98,0.69,-,0.49,LLM3,LLM3,,
LLM4,33083-4,"Long-Arm Hex Key, 4 mm",5,5,EA,0.98,0.69,-,0.49,LLM4,LLM4,,
LLM5,33084-1,"Long-Arm Hex Key, 5 mm",5,5,EA,1.40,0.99,-,0.70,LLM5,LLM5,,
LLM6,33085-8,"Long-Arm Hex Key, 6 mm",5,5,EA,1.82,1.29,-,0.91,LLM6,LLM6,,
LLM8,33086-5,"Long-Arm Hex Key, 8 mm",5,5,EA,3.24,2.29,-,1.62,LLM8,LLM8,,
LMK10,33224-1,"L-Style Hex Key Caddy Set Metric, 9-Piece",3,1,EA,18.24,12.99,10.94,9.12,LMK10,LMK10,,
M200ST,99041-0,"Comfort Grip Kit for Slim-Head Ironworker's Pliers, 2-Pack",6,1,EA,22.40,15.99,13.44,11.20,M200ST,M200ST,,
M2017CSTA,70311-9,"Slim-Head Ironworker's Pliers Comfort Grip, Aggressive Knurl, 9-Inch",3,1,EA,70.00,49.99,42.00,35.00,M2017CSTA,M2017CSTA,,
MAG2,32446-8,Magnetizer / Demagnetizer,6,1,EA,13.96,9.97,8.38,6.98,MAG2,MAG2,,
MBD00111,82264-3,"Counter Stool, Swivel Seat, Black, 14-Inch by 30-Inch",1,1,EA,172.48,104.99,-,86.24,MBD00111,MBD00111,,
MBD00135,82331-2,"Counter Stool, Swivel Seat, Yellow, 14-Inch by 30-Inch",1,1,EA,179.98,104.99,-,89.99,MBD00135,MBD00135,,
MBE00105,82246-9,"Coin Logo Decal, 5-Inch Diameter, Single Pack",1,1,EA,2.98,4.94,-,1.49,MBE00105,MBE00105,,
MBE00116,82373-2,"Bumper Sticker, Electricians Depend on Klein Tools",1,1,EA,3.74,4.94,-,1.87,MBE00116,MBE00116,,
MBE00118,82380-0,"Bumper Sticker, Klein Tools Logo",1,1,EA,3.74,4.03,-,1.87,MBE00118,MBE00118,,
MBE00130,82406-7,"Coin Logo Decal, 8-Inch Diameter, Single Pack",1,1,EA,4.48,5.38,-,2.24,MBE00130,MBE00130,,
MBE00131,82407-4,"Hard Hat / Cap Decal, 2.4-Inch, White Lineman Logo",1,1,EA,1.48,3.26,-,0.74,MBE00131,MBE00131,,
MBE00132,82424-1,"Hard Hat / Cap Decal, 2.4-Inch, Black Lineman Logo",1,1,EA,1.48,3.26,-,0.74,MBE00132,MBE00132,,
MBE00133,82310-7,"Window Decal, 12-Inch with Lineman Logo",1,1,EA,19.48,14.84,-,9.74,MBE00133,MBE00133,,
MM320KIT,69340-3,Digital Multimeter Electrical Test Kit,1,1,EA,79.30,49.97,-,39.65,MM320KIT,MM320KIT,,
MM325,69373-1,"Digital Multimeter, Manual-Ranging, 600V",1,1,EA,49.98,34.97,-,24.99,MM325,MM325,,
MM400,69021-1,"Digital Multimeter, Auto-Ranging, 600V",1,1,EA,79.76,54.97,-,39.88,MM400,MM400,,
MM420,69374-8,"Digital Multimeter, TRMS Auto-Ranging, 600V, Temp",1,1,EA,79.58,54.97,-,39.79,MM420,MM420,,
MM700,69023-5,"Digital Multimeter TRMS/Low Impedance, 1000V",1,1,EA,148.00,99.97,-,74.00,MM700,MM700,,
MM720,69376-2,"Digital Multimeter, TRMS Auto-Ranging, 1000V, Temp, Low Impedance",1,1,EA,145.98,99.97,-,72.99,MM720,MM720,,
NCVT-3,69008-2,"Non-Contact Voltage Tester Pen, 12 to 1000V AC, with Flashlight",8,1,EA,36.16,26.97,21.70,18.08,NCVT3,NCVT3,,
NCVT-4IR,69061-7,"Non-Contact Voltage Tester Pen, 12-1000 AC V with Infrared Thermometer",8,1,EA,58.58,39.99,35.15,29.29,NCVT4IR,NCVT4IR,,
NCVT-5A,69294-9,"Non-Contact Voltage Tester Pen, Dual Range, with Laser Pointer",8,1,EA,41.62,29.97,24.97,20.81,NCVT5A,NCVT5A,,
NCVT-6,69225-3,"Non-Contact Voltage Tester Pen, 12-1000V AC, with Laser Distance Meter",4,1,EA,69.98,49.97,41.99,34.99,NCVT6,NCVT6,,
NCVT1P,69370-0,"Non-Contact Voltage Tester Pen, 50 to 1000V AC",12,1,EA,26.32,19.97,15.79,13.16,NCVT1P,NCVT1P,,
NCVT2P,69232-1,Dual Range Non-Contact Voltage Tester 12 - 1000V AC,12,1,EA,35.76,26.97,21.46,17.88,NCVT2P,NCVT2P,,
NCVT2PKIT,69327-4,Dual Range NCVT with Receptacle Tester Electrical Test Kit,14,1,EA,41.28,28.99,24.77,20.64,NCVT2PKIT,NCVT2PKIT,,
NCVT3P,69323-6,"Dual Range Non-Contact Voltage Tester with Flashlight, 12 - 1000V AC",8,1,EA,40.36,29.97,24.22,20.18,NCVT3P,NCVT3P,,
NCVT3PKIT,69330-4,Dual Range NCVT and AC/DC Voltage Tester Electrical Test Kit,1,1,EA,48.52,34.99,-,24.26,NCVT3PKIT,NCVT3PKIT,,
NCVT5KIT,69236-9,Dual Range NCVT and GFCI Receptacle Tester Electrical Test Kit,10,1,EA,46.88,32.99,28.13,23.44,NCVT5KIT,NCVT5KIT,,
NRHD,68021-2,3-in-1 Impact Socket,1,1,EA,223.48,134.09,-,111.74,NRHD,NRHD,,
NRHD3,68643-6,Single-Ended Impact Socket,1,1,EA,363.24,217.94,-,181.62,NRHD3,NRHD3,,
NRHD4,65049-9,4-in-1 Square Impact Socket,1,1,EA,291.34,174.80,-,145.67,NRHD4,NRHD4,,
NRHDA,68026-7,Adapter for NRHD,1,1,EA,73.36,44.01,44.02,36.68,NRHDA,NRHDA,,
NRHDA3,68062-5,Adapter for NRHD3,1,1,EA,72.60,43.57,-,36.30,NRHDA3,NRHDA3,,
NRHDA4,65051-2,Adapter for NRHD4,1,1,EA,67.26,40.35,-,33.63,NRHDA4,NRHDA4,,
P12,32119-1,#0 Phillips Pocket Clip Screwdriver,6,1,EA,9.82,6.49,5.89,4.91,P12,P12,,
P18,32121-4,Profilated #1 Phillips Screwdriver 8-Inch,6,1,EA,12.88,8.49,7.73,6.44,P18,P18,,
P202,32125-2,Profilated #2 Phillips Screwdriver 20-Inch,6,1,EA,32.54,21.49,19.52,16.27,P202,P202,,
P212,32126-9,Profilated #2 Phillips Screwdriver 12-Inch,6,1,EA,15.88,10.49,9.53,7.94,P212,P212,,
P28,32128-3,Profilated #2 Phillips Screwdriver 8-Inch,6,1,EA,13.62,8.99,8.17,6.81,P28,P28,,
PH115,32720-9,"#1 Phillips Insert Power Driver 1-Inch, 5-Pack",6,1,EA,9.08,5.99,5.45,4.54,PH115,PH115,,
PH1355,32721-6,"#1 Phillips Power Drivers 3-1/2-Inch, 5-Pack",6,1,EA,18.92,12.49,11.35,9.46,PH1355,PH1355,,
PH162,32722-3,#1 Phillips Power Drivers 6-Inch Bit 2-Pack,6,1,EA,12.86,8.49,7.72,6.43,PH162,PH162,,
PH2115,32723-0,#2 Phillips Power Driver 1-Inch 15-Pack,6,1,EA,20.44,13.49,12.26,10.22,PH2115,PH2115,,
PH215,32231-0,"#2 Phillips Insert Power Driver, 1-Inch 5-Pack",6,1,EA,8.98,5.49,5.39,4.49,PH215,PH215,,
PH2355,32724-7,#2 Phillips Power Drivers 3-1/2-Inch 5-Pack,6,1,EA,18.92,12.49,11.35,9.46,PH2355,PH2355,,
PH262,32725-4,"#2 Phillips Tip Power Drivers, 6-Inch Bit 2-Pack",6,1,EA,12.86,8.49,7.72,6.43,PH262,PH262,,
PH315,32726-1,"#3 Phillips Insert Power Driver, 1-Inch, 5-Pack",6,1,EA,9.08,5.99,5.45,4.54,PH315,PH315,,
PH3355,32727-8,#3 Phillips Power Drivers 3-1/2-Inch 5-Pack,6,1,EA,18.92,12.49,11.35,9.46,PH3355,PH3355,,
PH362,32728-5,"#3 Phillips Power Drivers 6-Inch Bit, 2-Pack",6,1,EA,12.86,8.49,7.72,6.43,PH362,PH362,,
PJSFM1,29112-8,Rechargeable Personal Jobsite Fan,8,1,EA,86.16,59.97,51.70,43.08,PJSFM1,PJSFM1,,
PND125,32757-5,1/2-Inch Power Nut Driver 5-Inch Length,3,1,EA,30.98,18.99,18.59,15.49,PND125,PND125,,
PND7165,32758-2,7/16-Inch Power Nut Driver 5-Inch Out-of-Chuck,3,1,EA,30.98,18.99,18.59,15.49,PND7165,PND7165,,
PND91610,32753-7,"9/16-Inch Power Nut Driver, 10-Inch Length",3,1,EA,37.86,24.99,22.72,18.93,PND91610,PND91610,,
PND9165,32756-8,"9/16-Inch Power Nut Driver, 5-Inch Out-of-Chuck",3,1,EA,30.98,18.99,18.59,15.49,PND9165,PND9165,,
RG03,24194-9,Heritage: Large Ring Knife,100,100,EA,1.80,1.29,-,0.90,RG03,RG03,,
RT110,69026-6,Receptacle Tester,6,1,EA,10.90,8.97,6.54,5.45,RT110,RT110,,
RT210,69027-3,GFCI Outlet Tester,6,1,EA,17.12,12.97,10.27,8.56,RT210,RT210,,
RT250,69321-2,GFCI Receptacle Tester with LCD,4,1,EA,29.38,20.97,17.63,14.69,RT250,RT250,,
RT250KIT,69350-2,Premium Dual-Range NCVT and GFCI Receptacle Tester Electrical Test Kit,1,1,EA,60.18,42.99,-,30.09,RT250KIT,RT250KIT,,
RT310,69182-9,AFCI /GFCI Outlet Tester,1,1,EA,57.90,39.97,-,28.95,RT310,RT310,,
RT500,69404-2,Receptacle Tester USA Made,18,1,EA,27.18,19.37,16.31,13.59,RT500,RT500,,
S-12H,67402-0,"Grip-It® Strap Wrench, 1-1/2 to 5-Inch, 12-Inch L",6,1,EA,51.24,33.99,30.74,25.62,S12H,S12H,,
S-18H,67403-7,"Grip-It® Strap Wrenches, Silver/Red, 18-Inch",1,1,EA,134.12,88.99,-,67.06,S18H,S18H,,
S-6H,67401-3,"Grip-It® Strap Wrench, 1-1/2 to 5-Inch, 6-Inch L",6,1,EA,31.62,19.99,18.97,15.81,S6H,S6H,,
S10,32625-7,5/16-Inch Nut Driver 3-Inch Hollow Shaft,6,1,EA,11.38,7.49,6.83,5.69,S10,S10,,
S1018,32628-8,"5/16"" Super Long Nut Driver 18"" Shank",6,1,EA,31.80,20.99,19.08,15.90,S1018,S1018,,
S106,32630-1,"5/16-Inch Nut Driver, 6-Inch Shaft",6,1,EA,12.10,7.99,7.26,6.05,S106,S106,,
S106M,32631-8,"5/16-Inch Magnetic Nut Driver, 9-Inch Shank",6,1,EA,17.38,11.49,10.43,8.69,S106M,S106M,,
S10M,32627-1,5/16-Inch Magnetic Nut Driver 3-Inch Shaft,6,1,EA,15.08,9.99,9.05,7.54,S10M,S10M,,
S11,32633-2,"11/32-Inch Nut Driver, 3-Inch Hollow Shaft",6,1,EA,11.36,7.49,6.82,5.68,S11,S11,,
S116,32635-6,"11/32-Inch Nut Driver, 6-Inch Shaft",6,1,EA,12.14,7.99,7.28,6.07,S116,S116,,
S12,32637-0,"3/8-Inch Nut Driver, 3-Inch Hollow Shaft",6,1,EA,11.34,7.49,6.80,5.67,S12,S12,,
S126,32639-4,"3/8-Inch Nut Driver, 6-Inch Hollow Shaft",6,1,EA,12.14,7.99,7.28,6.07,S126,S126,,
S126M,32617-2,3/8-Inch Magnetic Nut Driver 6-Inch Shaft,6,1,EA,18.16,11.99,10.90,9.08,S126M,S126M,,
S14,32641-7,"7/16-Inch Nut Driver, 3-Inch Hollow Shaft",6,1,EA,12.86,8.49,7.72,6.43,S14,S14,,
S146,32643-1,"7/16-Inch Nut Driver, 6-Inch Hollow Shaft",6,1,EA,14.38,9.49,8.63,7.19,S146,S146,,
S16,32645-5,1/2-Inch Nut Driver 3-Inch Hollow Shaft,6,1,EA,13.62,8.99,8.17,6.81,S16,S16,,
S1613-40H,47017-2,"Grip, Hot-Line Latch, Bare Cable .12 to .37-Inch",2,1,EA,415.38,254.42,249.23,207.69,S161340H,S161340H,,
S1656-20H,47106-3,"Chicago Grip, Forged, Hot-Line, 0.20 to 0.40-Inch",2,1,EA,413.10,253.02,247.86,206.55,S165620H,S165620H,,
S1656-30H,47109-4,Chicago Grip Hot-Line 0.31 to 0.53-Inch,2,1,EA,471.14,288.58,282.68,235.57,S165630H,S165630H,,
S1656-40H,47113-1,"Chicago Grip, Forged, Hot-Line, 0.53 to 0.74-Inch",1,1,EA,786.78,481.90,-,393.39,S165640H,S165640H,,
S1656-50H,47116-2,"Chicago Grip, Forged, Hot-Line, 0.74 to 0.86-Inch",1,1,EA,831.52,509.31,-,415.76,S165650H,S165650H,,
S1656-60H,47119-3,"Chicago Grip, Forged, Hot-Line, 0.86 to 0.96-Inch",1,1,EA,830.46,508.65,-,415.23,S165660H,S165660H,,
S166,32647-9,"1/2-Inch Nut Driver, 6-Inch Hollow Shaft",6,1,EA,15.14,9.99,9.08,7.57,S166,S166,,
S1684-5H,47168-1,"Chicago Grip, Forged, Hot-Line, .218 to .55-Inch",1,1,EA,668.36,409.37,-,334.18,S16845H,S16845H,,
S1684-74H,47173-5,Curved Jaw Grip for EHS Cable with Latch,1,1,EA,623.20,381.71,-,311.60,S168474H,S168474H,,
