"GREAVES 2022.1 PRICE SCHEDULE Effective January 1, 2022",,,,,,,,
Orders less than $100 incur a $15 Small Order Fee.  Ground freight free to contiguous 48 states.,,,,,,,,
Catalog,Distrib Net,,,    Ctn ,  Trade List,, NAED # ,2021
Number,$/ea,,Description Category,Qty,$/ea,Mult,784491,Cat Page
USA 4-2M                 ,21.2950,,INSUL 1-SIDE MNTBL,1,29.1712,0.73,17142,64
USA 4-3                  ,9.7094,,INSUL DISTR ONE-SIDE,12,16.1823,0.60,13443,61
USA 4-3C,9.7094,,INSUL DISTR ONE-SIDE,12,16.1823,0.60,13343,0
USA 4-4                  ,12.3753,,INSUL DISTR ONE-SIDE,6,20.6255,0.60,13444,61
USA 4-4C,12.3753,,INSUL DISTR ONE-SIDE,6,20.6255,0.60,13344,0
USA 4-4M                 ,26.3634,,INSUL 1-SIDE MNTBL,1,36.1142,0.73,17144,64
USA 4-6                  ,16.5223,,INSUL DISTR ONE-SIDE,4,27.5372,0.60,13446,61
USA 4-6M                 ,33.0954,,INSUL 1-SIDE MNTBL,1,45.3362,0.73,17146,64
USA 4-8                  ,22.0188,,INSUL DISTR ONE-SIDE,4,36.6980,0.60,13448,61
USA 600-2M               ,59.3695,,INSUL 1-SIDE MNTBL,1,81.3281,0.73,17162,64
USA 600-3                ,29.5422,,INSUL DISTR ONE-SIDE,3,49.2370,0.60,13663,61
USA 600-3M               ,64.6233,,INSUL 1-SIDE MNTBL,1,88.5251,0.73,17163,64
USA 600-4                ,38.1494,,INSUL DISTR ONE-SIDE,2,63.5823,0.60,13664,61
USA 600-4M               ,69.8850,,INSUL 1-SIDE MNTBL,1,95.7329,0.73,17164,64
USA 600-5                ,43.6190,,INSUL DISTR ONE-SIDE,2,72.6983,0.60,13665,61
USA 600-5M               ,75.1789,,INSUL 1-SIDE MNTBL,1,102.9848,0.73,17165,64
USA 600-6                ,46.9580,,INSUL DISTR ONE-SIDE,2,78.2633,0.60,13666,61
USA 600-6M               ,81.3617,,INSUL 1-SIDE MNTBL,1,111.4544,0.73,17166,64
USA 600-7                ,51.6750,,INSUL DISTR ONE-SIDE,2,86.1250,0.60,13667,61
USA 600-8                ,56.4450,,INSUL DISTR ONE-SIDE,2,94.0750,0.60,13668,61
USA 750-2M               ,70.8061,,INSUL 1-SIDE MNTBL,1,96.9947,0.73,17172,64
USA 750-3                ,41.2729,,INSUL DISTR ONE-SIDE,3,68.7882,0.60,13644,61
USA 750-3M               ,84.7772,,INSUL 1-SIDE MNTBL,1,116.1332,0.73,17173,64
USA 750-4                ,46.7365,,INSUL DISTR ONE-SIDE,1,77.8941,0.60,13645,61
USA 750-4M               ,98.0921,,INSUL 1-SIDE MNTBL,1,134.3728,0.73,17174,64
USA 750-5                ,56.5117,,INSUL DISTR ONE-SIDE,1,94.1861,0.60,13646,61
USA 750-5M               ,112.0516,,INSUL 1-SIDE MNTBL,1,153.4953,0.73,17175,64
USA 750-6                ,62.0630,,INSUL DISTR ONE-SIDE,1,103.4383,0.60,13650,61
USA 750-6M               ,125.5945,,INSUL 1-SIDE MNTBL,1,172.0472,0.73,17176,64
USA 750-7                ,74.0410,,INSUL DISTR ONE-SIDE,1,123.4016,0.60,13651,61
USA 750-8                ,81.5140,,INSUL DISTR ONE-SIDE,1,135.8566,0.60,13655,61
USAD 2/0-10              ,55.2938,,INSUL DISTR TWO-SIDE,1,92.1564,0.60,13830,62
USAD 2/0-10M             ,98.3655,,INSUL 2-SIDE MNTBL,1,134.7472,0.73,17200,65
USAD 2/0-11              ,64.9045,,INSUL DISTR TWO-SIDE,1,108.1741,0.60,13831,62
USAD 2/0-12              ,74.4821,,INSUL DISTR TWO-SIDE,1,124.1369,0.60,13832,62
USAD 2/0-2               ,11.1830,,INSUL DISTR TWO-SIDE,6,18.6383,0.60,13822,60
USAD 2/0-2C,11.1830,,INSUL DISTR TWO-SIDE,6,18.6383,0.60,13222,0
USAD 2/0-2M              ,30.7740,,INSUL 2-SIDE MNTBL,1,42.1562,0.73,17202,65
USAD 2/0-3               ,17.8060,,INSUL DISTR TWO-SIDE,6,29.6766,0.60,13823,62
USAD 2/0-3C,17.9424,,INSUL DISTR TWO-SIDE,6,29.9040,0.60,13223,0
USAD 2/0-3M              ,32.7782,,INSUL 2-SIDE MNTBL,1,44.9016,0.73,17203,65
USAD 2/0-4               ,18.9250,,INSUL DISTR TWO-SIDE,6,31.5417,0.60,13824,62
USAD 2/0-4M              ,37.7073,,INSUL 2-SIDE MNTBL,1,51.6538,0.73,17204,65
USAD 2/0-5               ,22.5114,,INSUL DISTR TWO-SIDE,4,37.5190,0.60,13825,62
USAD 2/0-5M              ,43.1471,,INSUL 2-SIDE MNTBL,1,59.1056,0.73,17205,65
USAD 2/0-6               ,25.3976,,INSUL DISTR TWO-SIDE,4,42.3293,0.60,13826,62
USAD 2/0-6M              ,51.8910,,INSUL 2-SIDE MNTBL,1,71.0836,0.73,17206,65
USAD 2/0-7               ,31.3536,,INSUL DISTR TWO-SIDE,3,52.2560,0.60,13827,62
USAD 2/0-7M              ,61.6564,,INSUL 2-SIDE MNTBL,1,84.4608,0.73,17207,65
USAD 2/0-8               ,36.2701,,INSUL DISTR TWO-SIDE,3,60.4502,0.60,13828,62
USAD 2/0-8M              ,75.0354,,INSUL 2-SIDE MNTBL,1,102.7882,0.73,17208,65
USAD 2/0-9               ,44.3009,,INSUL DISTR TWO-SIDE,1,73.8348,0.60,13829,62
USAD 2/0-9M              ,86.7120,,INSUL 2-SIDE MNTBL,1,118.7836,0.73,17209,65
USAD 2-2                 ,9.6764,,INSUL DISTR TWO-SIDE,12,16.1274,0.60,13852,60
USAD 2-2C,9.6764,,INSUL DISTR TWO-SIDE,12,16.1274,0.60,13252,0
USAD 2-2M                ,26.9205,,INSUL 2-SIDE MNTBL,1,36.8774,0.73,17222,65
USAD 2-3                 ,14.8767,,INSUL DISTR TWO-SIDE,12,24.7945,0.60,13853,62
USAD 2-3C,14.8767,,INSUL DISTR TWO-SIDE,12,24.7945,0.60,13253,0
USAD 2-4                 ,16.3907,,INSUL DISTR TWO-SIDE,6,27.3178,0.60,13854,62
USAD 2-4C,16.3907,,INSUL DISTR TWO-SIDE,6,27.3178,0.60,13254,0
USAD 2-4M                ,35.4091,,INSUL 2-SIDE MNTBL,1,48.5056,0.73,17224,65
USAD 250-10              ,66.6817,,INSUL DISTR TWO-SIDE,1,111.1362,0.60,13908,62
USAD 250-10M             ,113.5252,,INSUL 2-SIDE MNTBL,1,155.5140,0.73,17250,65
USAD 250-11              ,78.6950,,INSUL DISTR TWO-SIDE,1,131.1584,0.60,13909,62
USAD 250-12              ,87.0220,,INSUL DISTR TWO-SIDE,1,145.0366,0.60,13912,62
USAD 250-2               ,18.0692,,INSUL DISTR TWO-SIDE,6,30.1154,0.60,13898,60
USAD 250-2C,18.0692,,INSUL DISTR TWO-SIDE,6,30.1154,0.60,13298,0
USAD 250-2M              ,41.4617,,INSUL 2-SIDE MNTBL,1,56.7969,0.73,17252,65
USAD 250-3               ,20.6035,,INSUL DISTR TWO-SIDE,4,34.3392,0.60,13899,62
USAD 250-3C,20.6035,,INSUL DISTR TWO-SIDE,4,34.3392,0.60,13299,0
USAD 250-3M              ,45.6183,,INSUL 2-SIDE MNTBL,1,62.4908,0.73,17253,65
USAD 250-4               ,21.9420,,INSUL DISTR TWO-SIDE,4,36.5700,0.60,13900,62
USAD 250-4M              ,49.0301,,INSUL 2-SIDE MNTBL,1,67.1645,0.73,17254,65
USAD 250-5               ,26.2774,,INSUL DISTR TWO-SIDE,3,43.7956,0.60,13903,62
USAD 250-5M              ,52.7302,,INSUL 2-SIDE MNTBL,1,72.2331,0.73,17255,65
USAD 250-6               ,32.4678,,INSUL DISTR TWO-SIDE,3,54.1130,0.60,13905,62
USAD 250-6M              ,58.1441,,INSUL 2-SIDE MNTBL,1,79.6495,0.73,17256,65
USAD 250-7               ,36.4110,,INSUL DISTR TWO-SIDE,2,60.6850,0.60,13907,62
USAD 250-7M              ,74.4261,,INSUL 2-SIDE MNTBL,1,101.9536,0.73,17257,65
USAD 250-8               ,40.3860,,INSUL DISTR TWO-SIDE,2,67.3100,0.60,13910,62
USAD 250-8M              ,96.4984,,INSUL 2-SIDE MNTBL,1,132.1896,0.73,17258,65
USAD 250-9               ,54.5039,,INSUL DISTR TWO-SIDE,1,90.8399,0.60,13911,62
USAD 250-9M              ,101.1195,,INSUL 2-SIDE MNTBL,1,138.5198,0.73,17259,65
USAD 2-6                 ,23.3682,,INSUL DISTR TWO-SIDE,4,38.9470,0.60,13856,62
USAD 2-6M                ,44.6637,,INSUL 2-SIDE MNTBL,1,61.1832,0.73,17226,65
USAD 2-8                 ,30.9692,,INSUL DISTR TWO-SIDE,4,51.6154,0.60,13858,62
USAD 3/0-2               ,14.2184,,INSUL DISTR TWO-SIDE,6,23.6974,0.60,13882,60
USAD 3/0-3               ,18.6485,,INSUL DISTR TWO-SIDE,6,31.0809,0.60,13883,62
USAD 3/0-4               ,19.3460,,INSUL DISTR TWO-SIDE,6,32.2434,0.60,13884,62
USAD 3/0-5               ,23.4260,,INSUL DISTR TWO-SIDE,3,39.0433,0.60,13885,62
USAD 3/0-6               ,28.0476,,INSUL DISTR TWO-SIDE,3,46.7460,0.60,13886,62
USAD 350-10              ,75.2391,,INSUL DISTR TWO-SIDE,1,125.3985,0.60,13923,62
USAD 350-10M             ,125.2981,,INSUL 2-SIDE MNTBL,1,171.6413,0.73,17230,65
USAD 350-11              ,100.3751,,INSUL DISTR TWO-SIDE,1,167.2918,0.60,13924,62
USAD 350-12              ,96.6984,,INSUL DISTR TWO-SIDE,1,161.1640,0.60,13927,62
USAD 350-2               ,20.8010,,INSUL DISTR TWO-SIDE,4,34.6684,0.60,13913,60
USAD 350-2M              ,44.2328,,INSUL 2-SIDE MNTBL,1,60.5929,0.73,17232,65
USAD 350-3               ,23.4670,,INSUL DISTR TWO-SIDE,4,39.1117,0.60,13914,62
USAD 350-3M              ,49.0221,,INSUL 2-SIDE MNTBL,1,67.1535,0.73,17233,65
USAD 350-4               ,26.0970,,INSUL DISTR TWO-SIDE,3,43.4950,0.60,13915,62
USAD 350-4M              ,53.6111,,INSUL 2-SIDE MNTBL,1,73.4399,0.73,17234,65
USAD 350-5               ,29.9448,,INSUL DISTR TWO-SIDE,3,49.9080,0.60,13918,62
USAD 350-5M              ,57.3913,,INSUL 2-SIDE MNTBL,1,78.6182,0.73,17235,65
USAD 350-6               ,38.7748,,INSUL DISTR TWO-SIDE,2,64.6246,0.60,13920,62
USAD 350-6M              ,68.9560,,INSUL 2-SIDE MNTBL,1,94.4603,0.73,17236,65
USAD 350-7               ,44.0960,,INSUL DISTR TWO-SIDE,2,73.4933,0.60,13922,62
USAD 350-7M              ,88.9301,,INSUL 2-SIDE MNTBL,1,121.8220,0.73,17237,65
USAD 350-8               ,49.5020,,INSUL DISTR TWO-SIDE,2,82.5033,0.60,13925,62
USAD 350-8M              ,100.9113,,INSUL 2-SIDE MNTBL,1,138.2346,0.73,17238,65
USAD 350-9               ,64.9374,,INSUL DISTR TWO-SIDE,1,108.2290,0.60,13926,62
USAD 350-9M              ,113.7334,,INSUL 2-SIDE MNTBL,1,155.7992,0.73,17239,65
USAD 4-2                 ,7.0763,,INSUL DISTR TWO-SIDE,12,11.7939,0.60,13842,60
USAD 4-2C,7.0763,,INSUL DISTR TWO-SIDE,12,11.7939,0.60,13242,0
USAD 4-2M                ,25.6283,,INSUL 2-SIDE MNTBL,1,35.1072,0.73,17242,65
USAD 4-3                 ,12.7702,,INSUL DISTR TWO-SIDE,12,21.2837,0.60,13843,62
USAD 4-3C,12.7702,,INSUL DISTR TWO-SIDE,12,21.2837,0.60,13243,0
USAD 4-4                 ,15.9628,,INSUL DISTR TWO-SIDE,6,26.6047,0.60,13844,62
USAD 4-4C,15.9628,,INSUL DISTR TWO-SIDE,6,26.6047,0.60,13244,0
USAD 4-4M                ,31.9270,,INSUL 2-SIDE MNTBL,1,43.7356,0.73,17244,65
USAD 4-6                 ,21.1301,,INSUL DISTR TWO-SIDE,3,35.2169,0.60,13846,62
USAD 4-6M                ,40.0519,,INSUL 2-SIDE MNTBL,1,54.8656,0.73,17246,65
USAD 4-8                 ,27.8115,,INSUL DISTR TWO-SIDE,3,46.3525,0.60,13848,62
USAD 600-10              ,86.2840,,INSUL DISTR TWO-SIDE,1,143.8066,0.60,13970,62
USAD 600-10M             ,139.0894,,INSUL 2-SIDE MNTBL,1,190.5334,0.73,17260,65
USAD 600-11              ,95.1880,,INSUL DISTR TWO-SIDE,1,158.6466,0.60,13971,62
USAD 600-12              ,107.6255,,INSUL DISTR TWO-SIDE,1,179.3758,0.60,13972,62
USAD 600-2               ,31.0699,,INSUL DISTR TWO-SIDE,4,51.7831,0.60,13962,60
USAD 600-2C,31.0699,,INSUL DISTR TWO-SIDE,4,51.7831,0.60,13262,0
USAD 600-2M              ,61.6440,,INSUL 2-SIDE MNTBL,1,84.4438,0.73,17262,65
USAD 600-3               ,35.7764,,INSUL DISTR TWO-SIDE,3,59.6274,0.60,13963,62
USAD 600-3M              ,68.0751,,INSUL 2-SIDE MNTBL,1,93.2535,0.73,17263,65
USAD 600-4               ,38.6399,,INSUL DISTR TWO-SIDE,2,64.3998,0.60,13964,62
USAD 600-4M              ,73.7934,,INSUL 2-SIDE MNTBL,1,101.0868,0.73,17264,65
USAD 600-5               ,44.0960,,INSUL DISTR TWO-SIDE,2,73.4933,0.60,13965,62
USAD 600-5M              ,80.6489,,INSUL 2-SIDE MNTBL,1,110.4780,0.73,17265,65
USAD 600-6               ,48.2300,,INSUL DISTR TWO-SIDE,2,80.3833,0.60,13966,62
USAD 600-6M              ,85.4783,,INSUL 2-SIDE MNTBL,1,117.0935,0.73,17266,65
USAD 600-7               ,53.2650,,INSUL DISTR TWO-SIDE,2,88.7750,0.60,13967,62
USAD 600-7M              ,94.8166,,INSUL 2-SIDE MNTBL,1,129.8857,0.73,17267,65
USAD 600-8               ,59.5190,,INSUL DISTR TWO-SIDE,2,99.1983,0.60,13968,62
USAD 600-8M              ,109.5288,,INSUL 2-SIDE MNTBL,1,150.0394,0.73,17268,65
USAD 600-9               ,72.1860,,INSUL DISTR TWO-SIDE,1,120.3100,0.60,13969,62
USAD 600-9M              ,122.0226,,INSUL 2-SIDE MNTBL,1,167.1542,0.73,17269,65
USAD 750-10              ,168.4159,,INSUL DISTR TWO-SIDE,1,280.6931,0.60,13953,63
USAD 750-10M             ,250.5963,,INSUL 2-SIDE MNTBL,1,343.2826,0.73,17270,65
USAD 750-11              ,186.1559,,INSUL DISTR TWO-SIDE,1,310.2599,0.60,13954,63
USAD 750-12              ,205.5746,,INSUL DISTR TWO-SIDE,1,342.6243,0.60,13957,63
USAD 750-2               ,44.4655,,INSUL DISTR TWO-SIDE,2,74.1092,0.60,13943,60
USAD 750-2M              ,82.8354,,INSUL 2-SIDE MNTBL,1,113.4731,0.73,17272,65
USAD 750-3               ,54.1748,,INSUL DISTR TWO-SIDE,3,90.2913,0.60,13944,63
USAD 750-3M              ,96.7067,,INSUL 2-SIDE MNTBL,1,132.4749,0.73,17273,65
USAD 750-4               ,60.8891,,INSUL DISTR TWO-SIDE,1,101.4818,0.60,13945,63
USAD 750-4M              ,104.6994,,INSUL 2-SIDE MNTBL,1,143.4239,0.73,17274,65
USAD 750-5               ,74.1530,,INSUL DISTR TWO-SIDE,1,123.5884,0.60,13948,63
USAD 750-5M              ,122.1427,,INSUL 2-SIDE MNTBL,1,167.3188,0.73,17275,65
USAD 750-6               ,80.8343,,INSUL DISTR TWO-SIDE,1,134.7239,0.60,13950,63
USAD 750-6M              ,134.7565,,INSUL 2-SIDE MNTBL,1,184.5980,0.73,17276,65
USAD 750-7               ,96.4023,,INSUL DISTR TWO-SIDE,1,160.6705,0.60,13952,63
USAD 750-7M              ,179.7502,,INSUL 2-SIDE MNTBL,1,246.2331,0.73,17277,65
USAD 750-8               ,106.7039,,INSUL DISTR TWO-SIDE,1,177.8399,0.60,13955,63
USAD 750-8M              ,208.5499,,INSUL 2-SIDE MNTBL,1,285.6848,0.73,17278,65
USAD 750-9               ,141.5259,,INSUL DISTR TWO-SIDE,1,235.8765,0.60,13956,63
USAD 750-9M              ,231.6794,,INSUL 2-SIDE MNTBL,1,317.3691,0.73,17279,65
